,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season
231,Nelson Agholor,NWE,WR,29,8,3,0,0,0,0,0,0,0,N/A,0,21,15,227,15.13,1,2,2,1,N/A,N/A,25,39.7,44.7,32.2,N/A,92,N/A,2022
232,Dyami Brown,WAS,WR,23,8,0,0,0,0,0,0,0,0,N/A,0,11,4,126,31.50,2,0,0,2,N/A,N/A,25,28.6,31.6,26.6,N/A,93,N/A,2022
233,Greg Dulcich,DEN,TE,22,4,2,0,0,0,0,0,0,0,N/A,0,21,13,193,14.85,1,0,0,1,N/A,N/A,25,38.3,41.3,31.8,N/A,35,N/A,2022
234,Gus Edwards,BAL,RB,27,2,1,0,0,0,0,0,27,131,4.85,2,1,0,0,N/A,0,0,0,2,N/A,N/A,25,25.1,28.1,25.1,N/A,65,N/A,2022
235,Robbie Anderson,2TM,WR,29,10,6,0,0,0,0,0,0,0,N/A,0,34,14,202,14.43,1,1,1,1,N/A,N/A,24,38.2,42.2,31.2,N/A,94,N/A,2022
236,Darren Waller,LVR,TE,30,5,4,0,0,0,0,0,0,0,N/A,0,24,16,175,10.94,1,0,0,1,N/A,N/A,24,39.5,42.5,31.5,N/A,36,N/A,2022
237,Jamal Agnew,JAX,WR,27,8,0,0,0,0,0,0,5,29,5.80,0,15,10,82,8.20,2,0,0,2,N/A,N/A,23,33.1,33.1,28.1,N/A,96,N/A,2022
238,Cam Akers,LAR,RB,23,7,2,0,0,0,0,0,62,176,2.84,1,6,2,18,9.00,0,1,1,1,N/A,N/A,23,25.4,29.4,24.4,N/A,66,N/A,2022
239,Michael Gallup,DAL,WR,26,6,4,0,0,0,0,0,0,0,N/A,0,30,16,170,10.63,1,0,0,1,N/A,N/A,23,39.0,42.0,31.0,N/A,97,N/A,2022
240,Kylen Granson,IND,TE,24,10,3,0,0,0,0,0,1,0,0.00,0,31,24,233,9.71,0,1,0,0,N/A,N/A,23,47.3,50.3,35.3,N/A,37,N/A,2022
241,O.J. Howard,HOU,TE,28,9,8,0,0,0,0,0,0,0,N/A,0,16,8,110,13.75,2,0,0,2,N/A,N/A,23,31.0,34.0,27.0,N/A,39,N/A,2022
242,Jarvis Landry,NOR,WR,30,5,1,0,0,0,0,0,0,0,N/A,0,27,18,205,11.39,0,0,0,0,1,N/A,23,40.5,43.5,31.5,N/A,99,N/A,2022
243,Chigoziem Okonkwo,TEN,TE,23,10,5,0,0,0,0,0,1,-4,-4.00,0,15,8,172,21.50,1,0,0,1,N/A,N/A,23,30.8,33.8,26.8,N/A,40,N/A,2022
244,Colby Parkinson,SEA,TE,23,10,0,0,0,0,0,0,0,0,N/A,0,16,13,172,13.23,1,0,0,1,N/A,N/A,23,36.2,39.2,29.7,N/A,38,N/A,2022
245,Quez Watkins,PHI,WR,24,9,3,0,0,0,0,0,1,-3,-3.00,0,17,12,193,16.08,1,1,1,1,N/A,N/A,23,35.0,39.0,29.0,N/A,98,N/A,2022
246,Justin Watson,KAN,WR,26,9,0,0,0,0,0,0,0,0,N/A,0,15,7,113,16.14,2,0,0,2,N/A,N/A,23,30.3,33.3,26.8,N/A,95,N/A,2022
247,Phillip Dorsett,HOU,WR,29,8,2,0,0,0,0,0,0,0,N/A,0,21,9,157,17.44,1,0,0,1,N/A,N/A,22,30.7,33.7,26.2,N/A,102,N/A,2022
248,Jauan Jennings,SFO,WR,25,8,1,0,0,0,0,0,0,0,N/A,0,28,18,220,12.22,0,0,0,0,N/A,N/A,22,40.0,43.0,31.0,N/A,101,N/A,2022
249,Kyle Juszczyk,SFO,RB,31,8,5,0,0,0,0,0,3,10,3.33,1,15,11,153,13.91,0,0,0,1,N/A,N/A,22,33.3,36.3,27.8,N/A,67,N/A,2022
250,Joshua Kelley,LAC,RB,25,6,0,0,0,0,0,0,23,104,4.52,1,10,7,56,8.00,0,0,0,1,N/A,N/A,22,29.0,32.0,25.5,N/A,68,N/A,2022
251,Ray-Ray McCloud,SFO,WR,26,9,2,0,0,0,0,0,0,0,N/A,0,16,10,162,16.20,1,2,0,1,N/A,N/A,22,32.2,35.2,27.2,N/A,100,N/A,2022
252,Craig Reynolds,DET,RB,26,8,0,0,0,0,0,0,23,102,4.43,0,10,9,116,12.89,0,0,0,0,N/A,N/A,22,30.8,36.8,26.3,N/A,69,N/A,2022
253,Tyquan Thornton,NWE,WR,22,5,2,0,0,0,0,0,3,16,5.33,1,19,9,81,9.00,1,0,0,2,N/A,N/A,22,30.7,30.7,26.2,N/A,103,N/A,2022
254,Marquez Callaway,NOR,WR,24,9,3,0,0,0,0,0,0,0,N/A,0,29,15,152,10.13,1,0,0,1,N/A,N/A,21,36.2,39.2,28.7,N/A,105,N/A,2022
255,Alec Ingold,MIA,RB,26,10,9,0,0,0,0,0,5,6,1.20,1,12,10,83,8.30,1,0,0,2,N/A,N/A,21,30.9,30.9,25.9,N/A,70,N/A,2022
256,Demarcus Robinson,BAL,WR,28,9,1,0,0,0,0,0,0,0,N/A,0,29,16,152,9.50,1,0,0,1,N/A,N/A,21,37.2,40.2,29.2,N/A,106,N/A,2022
257,Sterling Shepard,NYG,WR,29,3,2,0,0,0,0,0,0,0,N/A,0,24,13,154,11.85,1,0,0,1,N/A,N/A,21,34.4,37.4,27.9,N/A,104,N/A,2022
258,Sammy Watkins,GNB,WR,29,7,3,0,0,0,0,0,0,0,N/A,0,22,13,206,15.85,0,0,0,0,N/A,N/A,21,33.6,36.6,27.1,N/A,107,N/A,2022
259,Justice Hill,BAL,RB,25,7,0,0,0,0,0,0,32,190,5.94,0,5,5,27,5.40,0,1,1,0,N/A,N/A,20,24.7,28.7,22.2,N/A,71,N/A,2022
260,Elijah Moore,NYJ,WR,22,8,6,0,0,0,0,0,2,-4,-2.00,0,30,16,203,12.69,0,0,0,0,N/A,N/A,20,35.9,38.9,27.9,N/A,108,N/A,2022
261,Tommy Tremble,CAR,TE,22,10,3,0,0,0,0,0,0,0,N/A,0,19,10,99,9.90,2,1,1,2,N/A,N/A,20,29.9,30.9,24.9,N/A,41,N/A,2022
262,Harrison Bryant,CLE,TE,24,9,6,0,0,0,0,0,0,0,N/A,0,24,17,129,7.59,1,0,0,1,N/A,N/A,19,35.9,38.9,27.4,N/A,42,N/A,2022
263,Tevin Coleman,SFO,RB,29,4,0,0,0,0,0,0,12,26,2.17,1,3,3,44,14.67,1,0,0,2,N/A,N/A,19,22.0,22.0,20.5,N/A,72,N/A,2022
264,Jake Ferguson,DAL,TE,23,9,5,0,0,0,0,0,0,0,N/A,0,12,9,68,7.56,2,0,0,2,N/A,N/A,19,27.8,27.8,23.3,N/A,43,N/A,2022
265,KJ Hamler,DEN,WR,23,7,0,0,0,0,0,0,2,23,11.50,0,14,7,165,23.57,0,0,0,0,N/A,N/A,19,25.8,28.8,22.3,N/A,109,N/A,2022
266,Kadarius Toney,2TM,WR,23,4,2,0,0,0,0,0,4,56,14.00,0,10,8,69,8.63,1,0,0,1,N/A,N/A,19,26.5,26.5,22.5,N/A,110,N/A,2022
267,Kendrick Bourne,NWE,WR,27,8,2,0,0,0,0,0,3,15,5.00,0,19,14,167,11.93,0,2,0,0,N/A,N/A,18,32.2,35.2,25.2,N/A,111,N/A,2022
268,Jamycal Hasty,JAX,RB,26,10,0,0,0,0,0,0,13,92,7.08,1,10,7,23,3.29,0,0,0,1,N/A,N/A,18,24.5,24.5,21.0,N/A,73,N/A,2022
269,Scott Miller,TAM,WR,25,8,1,0,0,0,0,0,1,8,8.00,0,34,21,170,8.10,0,0,0,0,N/A,N/A,18,38.8,41.8,28.3,N/A,113,N/A,2022
270,Wan'Dale Robinson,NYG,WR,21,5,2,0,0,0,0,0,1,-5,-5.00,0,18,14,127,9.07,1,0,0,1,N/A,N/A,18,32.2,35.2,25.2,N/A,112,N/A,2022
