,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season
343,Marcedes Lewis,GNB,TE,38,11,11,0,0,0,0,0,0,0,N/A,0,3,3,20,6.67,1,0,0,1,N/A,N/A,8,11.0,11.0,9.5,N/A,68,N/A,2022
344,Dare Ogunbowale,HOU,RB,28,9,0,0,0,0,0,0,1,8,8.00,0,9,7,67,9.57,0,0,0,0,N/A,N/A,8,14.5,14.5,11.0,N/A,94,N/A,2022
345,Brandon Powell,LAR,WR,27,9,1,0,0,0,0,0,8,9,1.13,0,12,10,74,7.40,0,1,0,0,N/A,N/A,8,18.3,18.3,13.3,N/A,136,N/A,2022
346,Brett Rypien,DEN,QB,26,1,1,24,46,225,0,1,3,9,3.00,0,0,0,0,N/A,0,1,0,0,N/A,N/A,8,7.9,8.9,8.9,N/A,45,N/A,2022
347,Skylar Thompson,MIA,QB,25,3,1,27,47,272,0,1,4,9,2.25,0,0,0,0,N/A,0,1,1,0,N/A,N/A,8,7.8,9.8,8.8,N/A,46,N/A,2022
348,C.J. Uzomah,NYJ,TE,29,8,7,0,0,0,0,0,0,0,N/A,0,11,10,82,8.20,0,0,0,0,N/A,N/A,8,18.2,18.2,13.2,N/A,67,N/A,2022
349,Cedrick Wilson Jr.,MIA,WR,27,9,0,0,0,0,0,0,1,8,8.00,0,11,7,70,10.00,0,0,0,0,N/A,N/A,8,14.8,14.8,11.3,N/A,138,N/A,2022
350,Michael Bandy,LAC,WR,25,6,2,0,0,0,0,0,0,0,N/A,0,19,9,74,8.22,0,0,0,0,N/A,N/A,7,16.4,16.4,11.9,N/A,140,N/A,2022
351,Lawrence Cager,2TM,TE,25,3,1,0,0,0,0,0,0,0,N/A,0,4,2,9,4.50,1,0,0,1,N/A,N/A,7,8.9,8.9,7.9,N/A,71,N/A,2022
352,DeeJay Dallas,SEA,RB,24,10,0,0,1,0,0,1,13,65,5.00,0,5,5,29,5.80,0,1,0,0,N/A,N/A,7,12.4,13.4,10.9,N/A,95,N/A,2022
353,D'Wayne Eskridge,SEA,WR,25,10,0,0,0,0,0,0,2,10,5.00,0,13,7,58,8.29,0,0,0,0,N/A,N/A,7,13.8,13.8,10.3,N/A,143,N/A,2022
354,Ty Montgomery,NWE,WR,29,1,0,0,0,0,0,0,2,-2,-1.00,0,4,3,15,5.00,1,0,0,1,N/A,N/A,7,10.3,10.3,8.8,N/A,142,N/A,2022
355,Skyy Moore,KAN,WR,22,9,2,0,0,0,0,0,0,0,N/A,0,14,7,106,15.14,0,2,2,0,N/A,N/A,7,13.6,18.6,10.1,N/A,144,N/A,2022
356,MyCole Pruitt,ATL,TE,30,6,1,0,0,0,0,0,0,0,N/A,0,3,3,14,4.67,1,0,0,1,N/A,N/A,7,10.4,10.4,8.9,N/A,70,N/A,2022
357,Patrick Ricard,BAL,RB,28,9,8,0,0,0,0,0,4,10,2.50,0,9,8,60,7.50,0,0,0,0,N/A,N/A,7,15.0,15.0,11.0,N/A,97,N/A,2022
358,Giovanni Ricci,CAR,RB,26,10,3,0,0,0,0,0,0,0,N/A,0,8,7,68,9.71,0,0,0,0,N/A,N/A,7,13.8,13.8,10.3,N/A,98,N/A,2022
359,Derek Watt,PIT,RB,30,9,2,0,0,0,0,0,3,7,2.33,0,3,3,7,2.33,1,0,0,1,N/A,N/A,7,10.4,10.4,8.9,N/A,96,N/A,2022
360,Kevin White,NOR,WR,30,5,2,0,0,0,0,0,0,0,N/A,0,5,2,74,37.00,0,0,0,0,N/A,N/A,7,9.4,9.4,8.4,N/A,141,N/A,2022
361,Tutu Atwell,LAR,WR,23,5,0,0,0,0,0,0,1,9,9.00,0,4,1,54,54.00,0,0,0,0,N/A,N/A,6,7.3,7.3,6.8,N/A,147,N/A,2022
362,Andrew Beck,DEN,TE,26,8,4,0,0,0,0,0,1,-1,-1.00,0,6,3,59,19.67,0,0,0,0,N/A,N/A,6,8.8,8.8,7.3,N/A,74,N/A,2022
363,Malcolm Brown,LAR,RB,29,5,0,0,0,0,0,0,14,34,2.43,0,2,2,23,11.50,0,0,0,0,N/A,N/A,6,7.7,7.7,6.7,N/A,99,N/A,2022
364,Jamison Crowder,BUF,WR,29,4,0,0,0,0,0,0,0,0,N/A,0,13,6,60,10.00,0,1,0,0,N/A,N/A,6,12.0,12.0,9.0,N/A,149,N/A,2022
365,Jalen Guyton,LAC,WR,25,3,0,0,0,0,0,0,0,0,N/A,0,4,2,64,32.00,0,0,0,0,N/A,N/A,6,8.4,8.4,7.4,N/A,145,N/A,2022
366,Marcus Johnson,NYG,WR,28,6,4,0,0,0,0,0,0,0,N/A,0,16,6,63,10.50,0,0,0,0,N/A,N/A,6,12.3,12.3,9.3,N/A,148,N/A,2022
367,Jake Kumerow,BUF,WR,30,6,1,0,0,0,0,0,0,0,N/A,0,7,4,64,16.00,0,0,0,0,N/A,N/A,6,10.4,10.4,8.4,N/A,146,N/A,2022
368,Teagan Quitoriano,HOU,TE,22,2,0,0,0,0,0,0,0,0,N/A,0,1,1,2,2.00,1,0,0,1,N/A,N/A,6,7.2,7.2,6.7,N/A,72,N/A,2022
369,Cam Sims,WAS,WR,26,10,3,0,0,0,0,0,0,0,N/A,0,13,5,58,11.60,0,0,0,0,N/A,N/A,6,10.8,10.8,8.3,N/A,151,N/A,2022
370,Jeff Smith,NYJ,WR,25,9,0,0,0,0,0,0,0,0,N/A,0,6,4,57,14.25,0,0,0,0,N/A,N/A,6,9.7,9.7,7.7,N/A,153,N/A,2022
371,Mike Strachan,IND,WR,25,9,0,0,0,0,0,0,0,0,N/A,0,8,3,59,19.67,0,0,0,0,N/A,N/A,6,8.9,8.9,7.4,N/A,150,N/A,2022
372,Mike Thomas,CIN,WR,28,9,2,0,0,0,0,0,0,0,N/A,0,9,2,38,19.00,0,0,0,0,1,N/A,6,7.8,7.8,6.8,N/A,152,N/A,2022
373,Malik Willis,TEN,QB,23,5,2,12,30,141,0,1,18,64,3.56,0,0,0,0,N/A,0,2,2,0,N/A,N/A,6,6.0,9.0,7.0,N/A,47,N/A,2022
374,Shane Zylstra,DET,TE,26,5,1,0,0,0,0,0,0,0,N/A,0,2,1,1,1.00,1,0,0,1,N/A,N/A,6,7.1,7.1,6.6,N/A,73,N/A,2022
375,Spencer Brown,CAR,RB,24,2,0,0,0,0,0,0,9,43,4.78,0,4,2,10,5.00,0,0,0,0,N/A,N/A,5,7.3,7.3,6.3,N/A,101,N/A,2022
376,Hassan Haskins,TEN,RB,23,10,0,0,0,0,0,0,10,42,4.20,0,3,3,7,2.33,0,0,0,0,N/A,N/A,5,7.9,7.9,6.4,N/A,103,N/A,2022
377,Parker Hesse,ATL,TE,27,10,3,0,0,0,0,0,0,0,N/A,0,6,5,50,10.00,0,0,0,0,N/A,N/A,5,10.0,10.0,7.5,N/A,77,N/A,2022
378,Cody Hollister,TEN,WR,29,10,3,0,0,0,0,0,0,0,N/A,0,5,3,54,18.00,0,0,0,0,N/A,N/A,5,8.4,8.4,6.9,N/A,154,N/A,2022
379,Trenton Irwin,CIN,WR,27,2,0,0,0,0,0,0,1,11,11.00,0,4,3,41,13.67,0,0,0,0,N/A,N/A,5,8.2,8.2,6.7,N/A,156,N/A,2022
380,Ko Kieft,TAM,TE,24,10,7,0,0,0,0,0,0,0,N/A,0,5,4,52,13.00,0,0,0,0,N/A,N/A,5,9.2,9.2,7.2,N/A,76,N/A,2022
381,Tre' McKitty,LAC,TE,23,9,4,0,0,0,0,0,0,0,N/A,0,13,7,49,7.00,0,1,0,0,N/A,N/A,5,11.9,11.9,8.4,N/A,79,N/A,2022
382,Quintin Morris,BUF,TE,23,8,1,0,0,0,0,0,0,0,N/A,0,9,6,67,11.17,0,1,1,0,N/A,N/A,5,10.7,11.7,7.7,N/A,81,N/A,2022
383,Albert Okwuegbunam,DEN,TE,24,5,0,0,0,0,0,0,0,0,N/A,0,11,7,50,7.14,0,0,0,0,N/A,N/A,5,12.0,12.0,8.5,N/A,78,N/A,2022
384,Donald Parham,LAC,TE,25,2,0,0,0,0,0,0,0,0,N/A,0,4,3,53,17.67,0,0,0,0,N/A,N/A,5,8.3,8.3,6.8,N/A,75,N/A,2022
385,Byron Pringle,CHI,WR,29,4,1,0,0,0,0,0,0,0,N/A,0,5,3,45,15.00,0,0,0,0,N/A,N/A,5,7.5,7.5,6.0,N/A,157,N/A,2022
386,James Proche,BAL,WR,26,7,0,0,0,0,0,0,0,0,N/A,0,8,6,53,8.83,0,0,0,0,N/A,N/A,5,11.3,11.3,8.3,N/A,155,N/A,2022
387,Ronnie Rivers,LAR,RB,23,3,1,0,0,0,0,0,9,21,2.33,0,5,5,29,5.80,0,0,0,0,N/A,N/A,5,10.0,10.0,7.5,N/A,102,N/A,2022
388,Jack Stoll,PHI,TE,24,9,5,0,0,0,0,0,0,0,N/A,0,7,4,49,12.25,0,0,0,0,N/A,N/A,5,8.9,8.9,6.9,N/A,80,N/A,2022
389,Stephen Sullivan,CAR,TE,26,7,0,0,0,0,0,0,0,0,N/A,0,3,2,46,23.00,0,0,0,0,N/A,N/A,5,6.6,6.6,5.6,N/A,83,N/A,2022
390,Dwayne Washington,NOR,RB,28,9,0,0,0,0,0,0,11,38,3.45,0,1,1,7,7.00,0,0,0,0,N/A,N/A,5,5.5,5.5,5.0,N/A,105,N/A,2022
391,Mitchell Wilcox,CIN,TE,26,9,0,0,0,0,0,0,0,0,N/A,0,6,6,47,7.83,0,0,0,0,N/A,N/A,5,10.7,10.7,7.7,N/A,82,N/A,2022
392,Jordan Wilkins,IND,RB,28,2,0,0,0,0,0,0,6,31,5.17,0,5,4,15,3.75,0,0,0,0,N/A,N/A,5,8.6,8.6,6.6,N/A,104,N/A,2022
393,Jonathan Williams,WAS,RB,28,6,0,0,0,0,0,0,6,54,9.00,0,0,0,0,N/A,0,0,0,0,N/A,N/A,5,5.4,5.4,5.4,N/A,100,N/A,2022
394,Kendall Blanton,LAR,TE,27,4,0,0,0,0,0,0,0,0,N/A,0,2,2,35,17.50,0,0,0,0,N/A,N/A,4,5.5,5.5,4.5,N/A,88,N/A,2022
395,Grant Calcaterra,PHI,TE,24,7,1,0,0,0,0,0,0,0,N/A,0,1,1,40,40.00,0,0,0,0,N/A,N/A,4,5.0,5.0,4.5,N/A,85,N/A,2022
396,Keelan Cole,LVR,WR,29,6,2,0,0,0,0,0,0,0,N/A,0,11,3,42,14.00,0,0,0,0,N/A,N/A,4,7.2,7.2,5.7,N/A,158,N/A,2022
397,Tyrion Davis-Price,SFO,RB,22,3,0,0,0,0,0,0,16,37,2.31,0,2,0,0,N/A,0,0,0,0,N/A,N/A,4,3.7,3.7,3.7,N/A,107,N/A,2022
398,Anthony Firkser,ATL,TE,27,5,1,0,0,0,0,0,0,0,N/A,0,4,3,39,13.00,0,0,0,0,N/A,N/A,4,6.9,6.9,5.4,N/A,86,N/A,2022
399,Ty Johnson,NYJ,RB,25,9,0,0,0,0,0,0,5,26,5.20,0,6,2,10,5.00,0,0,0,0,N/A,N/A,4,5.6,5.6,4.6,N/A,108,N/A,2022
400,Kyle Philips,TEN,WR,23,4,0,0,0,0,0,0,0,0,N/A,0,13,8,78,9.75,0,2,2,0,N/A,N/A,4,11.8,13.8,7.8,N/A,160,N/A,2022
401,Anthony Schwartz,CLE,WR,22,8,0,0,0,0,0,0,2,20,10.00,0,7,2,22,11.00,0,0,0,0,N/A,N/A,4,6.2,6.2,5.2,N/A,159,N/A,2022
402,Eric Tomlinson,DEN,TE,30,9,7,0,0,0,0,0,0,0,N/A,0,6,3,37,12.33,0,0,0,0,N/A,N/A,4,6.7,6.7,5.2,N/A,87,N/A,2022
403,Trevon Wesco,CHI,TE,27,9,1,0,0,0,0,0,0,0,N/A,0,3,1,23,23.00,0,0,0,0,1,N/A,4,5.3,5.3,4.8,N/A,84,N/A,2022
404,Kyren Williams,LAR,RB,22,2,0,0,0,0,0,0,1,9,9.00,0,3,3,30,10.00,0,0,0,0,N/A,N/A,4,6.9,6.9,5.4,N/A,106,N/A,2022
405,Andre Baccellia,ARI,WR,25,5,0,0,0,0,0,0,0,0,N/A,0,6,4,25,6.25,0,0,0,0,N/A,N/A,3,6.5,6.5,4.5,N/A,166,N/A,2022
406,Tyrie Cleveland,DEN,WR,25,6,0,0,0,0,0,0,0,0,N/A,0,7,2,28,14.00,0,0,0,0,N/A,N/A,3,4.8,4.8,3.8,N/A,162,N/A,2022
407,Jaelon Darden,TAM,WR,23,10,0,0,0,0,0,0,1,2,2.00,0,2,2,26,13.00,0,0,0,0,N/A,N/A,3,4.8,4.8,3.8,N/A,163,N/A,2022
408,Mike Davis,BAL,RB,29,7,0,0,0,0,0,0,8,18,2.25,0,1,1,7,7.00,0,1,0,0,N/A,N/A,3,3.5,3.5,3.0,N/A,113,N/A,2022
409,Tyler Davis,GNB,TE,25,11,1,0,0,0,0,0,0,0,N/A,0,6,4,26,6.50,0,0,0,0,N/A,N/A,3,6.6,6.6,4.6,N/A,91,N/A,2022
410,Trestan Ebner,CHI,RB,23,10,0,0,0,0,0,0,18,46,2.56,0,4,2,8,4.00,0,2,1,0,N/A,N/A,3,5.4,6.4,4.4,N/A,109,N/A,2022
411,Ben Ellefson,MIN,TE,26,4,1,0,0,0,0,0,0,0,N/A,0,3,3,26,8.67,0,0,0,0,N/A,N/A,3,5.6,5.6,4.1,N/A,92,N/A,2022
412,Chris Evans,CIN,RB,25,9,0,0,0,0,0,0,0,0,N/A,0,3,2,30,15.00,0,0,0,0,N/A,N/A,3,5.0,5.0,4.0,N/A,111,N/A,2022
413,Luke Farrell,JAX,TE,25,10,0,0,0,0,0,0,0,0,N/A,0,2,2,26,13.00,0,0,0,0,N/A,N/A,3,4.6,4.6,3.6,N/A,93,N/A,2022
414,Myles Gaskin,MIA,RB,25,2,0,0,0,0,0,0,4,9,2.25,0,5,3,24,8.00,0,0,0,0,N/A,N/A,3,6.3,6.3,4.8,N/A,110,N/A,2022
415,Tim Jones,JAX,WR,24,10,1,0,0,0,0,0,0,0,N/A,0,3,2,27,13.50,0,0,0,0,N/A,N/A,3,4.7,4.7,3.7,N/A,164,N/A,2022
416,Brevin Jordan,HOU,TE,22,5,1,0,0,0,0,0,0,0,N/A,0,17,6,32,5.33,0,0,0,0,N/A,N/A,3,9.2,9.2,6.2,N/A,89,N/A,2022
417,Jordan Love,GNB,QB,24,2,0,6,9,73,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,3,2.9,2.9,2.9,N/A,48,N/A,2022
418,Trey McBride,ARI,TE,23,9,6,0,0,0,0,0,0,0,N/A,0,4,4,31,7.75,0,1,0,0,N/A,N/A,3,7.1,7.1,5.1,N/A,90,N/A,2022
419,Steven Sims,PIT,WR,25,4,1,0,0,0,0,0,5,18,3.60,0,5,3,14,4.67,0,0,0,0,N/A,N/A,3,6.2,6.2,4.7,N/A,161,N/A,2022
420,Isaiah Spiller,LAC,RB,21,3,0,0,0,0,0,0,12,27,2.25,0,0,0,0,N/A,0,0,0,0,N/A,N/A,3,2.7,2.7,2.7,N/A,112,N/A,2022
421,Jarrett Stidham,LVR,QB,26,2,0,8,13,72,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,3,2.9,2.9,2.9,N/A,49,N/A,2022
422,KaVontae Turpin,DAL,WR,26,9,0,0,0,0,0,0,3,17,5.67,0,2,1,9,9.00,0,0,0,0,N/A,N/A,3,3.6,3.6,3.1,N/A,165,N/A,2022
423,Cole Beasley,TAM,WR,33,2,0,0,0,0,0,0,0,0,N/A,0,5,4,17,4.25,0,0,0,0,N/A,N/A,2,5.7,5.7,3.7,N/A,176,N/A,2022
424,Michael Burton,KAN,RB,30,9,0,0,0,0,0,0,4,7,1.75,0,3,2,11,5.50,0,0,0,0,N/A,N/A,2,3.8,3.8,2.8,N/A,118,N/A,2022
425,Quintez Cephus,DET,WR,24,4,1,0,0,0,0,0,0,0,N/A,0,3,2,15,7.50,0,0,0,0,N/A,N/A,2,3.5,3.5,2.5,N/A,181,N/A,2022
426,Jeff Driskel,HOU,TE,29,2,0,0,0,0,0,0,2,15,7.50,0,0,0,0,N/A,0,0,0,0,N/A,N/A,2,1.5,1.5,1.5,N/A,99,N/A,2022
427,Bryan Edwards,ATL,WR,24,7,1,0,0,0,0,0,0,0,N/A,0,5,3,15,5.00,0,0,0,0,N/A,N/A,2,4.5,4.5,3.0,N/A,182,N/A,2022
428,Simi Fehoko,DAL,WR,25,5,0,0,0,0,0,0,0,0,N/A,0,4,3,24,8.00,0,0,0,0,N/A,N/A,2,5.4,5.4,3.9,N/A,167,N/A,2022
429,Kenny Golladay,NYG,WR,29,5,3,0,0,0,0,0,0,0,N/A,0,8,2,22,11.00,0,0,0,0,N/A,N/A,2,4.2,4.2,3.2,N/A,169,N/A,2022
430,Ryan Griffin,CHI,TE,32,8,0,0,0,0,0,0,0,0,N/A,0,6,3,24,8.00,0,0,0,0,N/A,N/A,2,5.4,5.4,3.9,N/A,94,N/A,2022
431,Penny Hart,SEA,WR,26,7,0,0,0,0,0,0,0,0,N/A,0,1,1,15,15.00,0,0,0,0,N/A,N/A,2,2.5,2.5,2.0,N/A,183,N/A,2022
432,Jesper Horsted,LVR,TE,25,9,0,0,0,0,0,0,0,0,N/A,0,4,3,19,6.33,0,0,0,0,N/A,N/A,2,4.9,4.9,3.4,N/A,98,N/A,2022
433,Dennis Houston,DAL,WR,23,2,0,0,0,0,0,0,0,0,N/A,0,6,2,16,8.00,0,0,0,0,N/A,N/A,2,3.6,3.6,2.6,N/A,179,N/A,2022
434,Lil'Jordan Humphrey,NWE,WR,24,6,2,0,0,0,0,0,0,0,N/A,0,4,2,20,10.00,0,0,0,0,N/A,N/A,2,4.0,4.0,3.0,N/A,173,N/A,2022
435,Andy Isabella,ARI,WR,26,3,0,0,0,0,0,0,0,0,N/A,0,5,2,21,10.50,0,0,0,0,N/A,N/A,2,4.1,4.1,3.1,N/A,170,N/A,2022
436,DeSean Jackson,BAL,WR,36,1,1,0,0,0,0,0,0,0,N/A,0,2,1,16,16.00,0,0,0,0,N/A,N/A,2,2.6,2.6,2.1,N/A,180,N/A,2022
437,D'Ernest Johnson,CLE,RB,26,7,0,0,0,0,0,0,4,17,4.25,0,3,3,7,2.33,0,0,0,0,N/A,N/A,2,5.4,5.4,3.9,N/A,114,N/A,2022
438,Tony Jones,2TM,RB,25,4,0,0,0,0,0,0,2,8,4.00,0,2,2,12,6.00,0,0,0,0,N/A,N/A,2,4.0,4.0,3.0,N/A,115,N/A,2022
439,Keith Kirkwood,NOR,WR,28,2,1,0,0,0,0,0,0,0,N/A,0,2,2,18,9.00,0,0,0,0,N/A,N/A,2,3.8,3.8,2.8,N/A,175,N/A,2022
440,Tyler Kroft,SFO,TE,30,4,3,0,0,0,0,0,0,0,N/A,0,3,2,15,7.50,0,0,0,0,N/A,N/A,2,3.5,3.5,2.5,N/A,100,N/A,2022
441,Chris Manhertz,JAX,TE,30,10,7,0,0,0,0,0,0,0,N/A,0,6,5,21,4.20,0,0,0,0,N/A,N/A,2,7.1,7.1,4.6,N/A,96,N/A,2022
442,Trace McSorley,ARI,QB,27,2,0,2,4,12,0,0,3,20,6.67,0,0,0,0,N/A,0,0,0,0,N/A,N/A,2,2.5,2.5,2.5,N/A,50,N/A,2022
443,Dezmon Patmon,IND,WR,24,1,0,0,0,0,0,0,0,0,N/A,0,6,2,24,12.00,0,0,0,0,N/A,N/A,2,4.4,4.4,3.4,N/A,168,N/A,2022
444,Kyle Rudolph,TAM,TE,33,5,0,0,0,0,0,0,0,0,N/A,0,4,2,20,10.00,0,0,0,0,N/A,N/A,2,4.0,4.0,3.0,N/A,97,N/A,2022
445,Trey Sermon,PHI,RB,23,2,0,0,0,0,0,0,2,19,9.50,0,0,0,0,N/A,0,0,0,0,N/A,N/A,2,1.9,1.9,1.9,N/A,116,N/A,2022
446,J.J. Taylor,NWE,RB,24,1,0,0,0,0,0,0,10,9,0.90,0,1,1,8,8.00,0,0,0,0,N/A,N/A,2,2.7,2.7,2.2,N/A,119,N/A,2022
447,Trent Taylor,CIN,WR,28,9,1,0,0,0,0,0,3,18,6.00,0,3,3,19,6.33,0,2,1,0,N/A,N/A,2,4.7,5.7,3.2,N/A,177,N/A,2022
448,Cole Turner,WAS,TE,22,3,2,0,0,0,0,0,0,0,N/A,0,7,2,23,11.50,0,0,0,0,N/A,N/A,2,4.3,4.3,3.3,N/A,95,N/A,2022
449,DJ Turner,LVR,WR,25,5,0,0,0,0,0,0,3,20,6.67,0,0,0,0,N/A,0,1,0,0,N/A,N/A,2,2.0,2.0,2.0,N/A,174,N/A,2022
450,Ke'Shawn Vaughn,TAM,RB,25,8,0,0,0,0,0,0,4,6,1.50,0,2,1,11,11.00,0,0,0,0,N/A,N/A,2,2.7,2.7,2.2,N/A,120,N/A,2022
451,Tylan Wallace,BAL,WR,23,6,0,0,0,0,0,0,0,0,N/A,0,6,3,21,7.00,0,0,0,0,N/A,N/A,2,5.1,5.1,3.6,N/A,171,N/A,2022
452,Montrell Washington,DEN,WR,23,9,0,0,0,0,0,0,3,30,10.00,0,5,3,5,1.67,0,3,1,0,N/A,N/A,2,4.5,5.5,3.0,N/A,184,N/A,2022
453,Zamir White,LVR,RB,23,9,0,0,0,0,0,0,8,19,2.38,0,0,0,0,N/A,0,0,0,0,N/A,N/A,2,1.9,1.9,1.9,N/A,117,N/A,2022
454,Juwann Winfree,GNB,WR,26,3,0,0,0,0,0,0,0,0,N/A,0,4,1,17,17.00,0,0,0,0,N/A,N/A,2,2.7,2.7,2.2,N/A,178,N/A,2022
455,Michael Woods II,CLE,WR,22,4,0,0,0,0,0,0,0,0,N/A,0,6,2,21,10.50,0,0,0,0,N/A,N/A,2,4.1,4.1,3.1,N/A,172,N/A,2022
456,Salvon Ahmed,MIA,RB,24,7,0,0,0,0,0,0,4,13,3.25,0,0,0,0,N/A,0,0,0,0,N/A,N/A,1,1.3,1.3,1.3,N/A,121,N/A,2022
457,Maurice Alexander,DET,WR,25,5,0,0,0,0,0,0,0,0,N/A,0,1,1,7,7.00,0,0,0,0,N/A,N/A,1,1.7,1.7,1.2,N/A,189,N/A,2022
458,Brandon Allen,CIN,QB,30,1,0,3,3,22,0,0,3,-1,-0.33,0,0,0,0,N/A,0,0,0,0,N/A,N/A,1,0.8,0.8,0.8,N/A,54,N/A,2022
459,Miles Boykin,PIT,WR,26,9,0,0,0,0,0,0,0,0,N/A,0,2,1,11,11.00,0,0,0,0,N/A,N/A,1,2.1,2.1,1.6,N/A,186,N/A,2022
460,Jalen Camp,HOU,WR,24,1,0,0,0,0,0,0,0,0,N/A,0,1,1,7,7.00,0,0,0,0,N/A,N/A,1,1.7,1.7,1.2,N/A,190,N/A,2022
461,Troy Hairston,HOU,RB,24,9,4,0,0,0,0,0,0,0,N/A,0,4,3,12,4.00,0,0,0,0,N/A,N/A,1,4.2,4.2,2.7,N/A,122,N/A,2022
462,Kevin Harris,NWE,RB,22,1,0,0,0,0,0,0,3,5,1.67,0,0,0,0,N/A,0,0,0,0,N/A,N/A,1,0.5,0.5,0.5,N/A,127,N/A,2022
463,Kylin Hill,GNB,RB,24,2,0,0,0,0,0,0,1,7,7.00,0,0,0,0,N/A,0,0,0,0,N/A,N/A,1,0.7,0.7,0.7,N/A,124,N/A,2022
464,Brycen Hopkins,LAR,TE,25,6,0,0,0,0,0,0,0,0,N/A,0,3,1,11,11.00,0,0,0,0,N/A,N/A,1,2.1,2.1,1.6,N/A,102,N/A,2022
465,Brian Hoyer,NWE,QB,37,1,1,5,6,37,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,1,1.5,1.5,1.5,N/A,51,N/A,2022
466,Jakob Johnson,LVR,RB,28,9,5,0,0,0,0,0,0,0,N/A,0,2,2,6,3.00,0,0,0,0,N/A,N/A,1,2.6,2.6,1.6,N/A,126,N/A,2022
467,Tyron Johnson,2TM,WR,26,4,1,0,0,0,0,0,0,0,N/A,0,1,1,8,8.00,0,0,0,0,N/A,N/A,1,1.8,1.8,1.3,N/A,188,N/A,2022
468,Jordan Mason,SFO,RB,23,8,0,0,0,0,0,0,1,7,7.00,0,0,0,0,N/A,0,0,0,0,N/A,N/A,1,0.7,0.7,0.7,N/A,125,N/A,2022
469,Sean McKeon,DAL,TE,25,5,0,0,0,0,0,0,0,0,N/A,0,3,2,11,5.50,0,0,0,0,N/A,N/A,1,3.1,3.1,2.1,N/A,103,N/A,2022
470,Gardner Minshew II,PHI,QB,26,1,0,1,2,23,0,0,1,-1,-1.00,0,0,0,0,N/A,0,0,0,0,N/A,N/A,1,0.8,0.8,0.8,N/A,53,N/A,2022
471,Jason Moore,LAC,WR,27,6,0,0,0,0,0,0,0,0,N/A,0,2,1,5,5.00,0,0,0,0,N/A,N/A,1,1.5,1.5,1.0,N/A,191,N/A,2022
472,Jalen Nailor,MIN,WR,23,7,0,0,0,0,0,0,0,0,N/A,0,1,1,13,13.00,0,0,0,0,N/A,N/A,1,2.3,2.3,1.8,N/A,185,N/A,2022
473,Brock Purdy,SFO,QB,23,2,0,4,9,66,0,1,2,0,0.00,0,0,0,0,N/A,0,0,0,0,N/A,N/A,1,0.6,1.6,1.6,N/A,55,N/A,2022
474,Amari Rodgers,GNB,WR,23,10,0,0,0,0,0,0,0,0,N/A,0,8,4,50,12.50,0,5,2,0,N/A,N/A,1,5.0,7.0,3.0,N/A,187,N/A,2022
475,Mason Schreck,HOU,TE,29,2,1,0,0,0,0,0,0,0,N/A,0,2,2,6,3.00,0,0,0,0,N/A,N/A,1,2.6,2.6,1.6,N/A,105,N/A,2022
476,Keith Smith,ATL,RB,30,10,3,0,0,0,0,0,1,2,2.00,0,2,1,8,8.00,0,0,0,0,N/A,N/A,1,2.0,2.0,1.5,N/A,123,N/A,2022
477,Pierre Strong,NWE,RB,24,7,0,0,0,0,0,0,1,5,5.00,0,0,0,0,N/A,0,0,0,0,N/A,N/A,1,0.5,0.5,0.5,N/A,128,N/A,2022
478,Tommy Sweeney,BUF,TE,27,3,0,0,0,0,0,0,0,0,N/A,0,1,1,7,7.00,0,0,0,0,N/A,N/A,1,1.7,1.7,1.2,N/A,104,N/A,2022
479,Tyrod Taylor,NYG,QB,33,1,0,1,3,11,0,1,3,30,10.00,0,0,0,0,N/A,0,1,0,0,N/A,N/A,1,1.4,2.4,2.4,N/A,52,N/A,2022
480,Nick Vannett,NOR,TE,29,3,0,0,0,0,0,0,0,0,N/A,0,2,2,13,6.50,0,0,0,0,N/A,N/A,1,3.3,3.3,2.3,N/A,101,N/A,2022
481,Stephen Anderson,ARI,TE,29,10,0,0,0,0,0,0,0,0,N/A,0,2,1,2,2.00,0,0,0,0,N/A,N/A,N/A,1.2,1.2,0.7,N/A,107,N/A,2022
482,Devin Asiasi,CIN,N/A,25,6,0,0,0,0,0,0,0,0,N/A,0,2,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,108,N/A,2022
483,C.J. Beathard,JAX,QB,29,1,0,0,0,0,0,0,1,-1,-1.00,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,-0.1,-0.1,-0.1,N/A,63,N/A,2022
484,Trinity Benson,DET,N/A,25,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,195,N/A,2022
485,Giovani Bernard,TAM,N/A,31,2,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134,N/A,2022
