,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season
357,Spencer Larsen,DEN,RB,27,16,6,0,0,0,0,0,14,44,3.14,0,9,9,76,8.44,0,0,N/A,0,N/A,N/A,12,21.0,21.0,16.5,N/A,109,N/A,2011
358,Donald Lee,CIN,TE,31,9,4,0,0,0,0,0,0,0,N/A,0,13,11,115,10.45,0,0,N/A,0,N/A,N/A,12,22.5,25.5,17.0,N/A,60,N/A,2011
359,Michael Robinson*,SEA,RB,28,14,4,0,0,0,0,0,4,7,1.75,0,14,9,74,8.22,1,1,1,1,N/A,N/A,12,21.1,22.1,16.6,N/A,108,N/A,2011
360,Dante Rosario,2TM,TE,27,16,3,0,0,0,0,0,0,0,N/A,0,11,7,117,16.71,0,0,N/A,0,N/A,N/A,12,18.7,21.7,15.2,N/A,59,N/A,2011
361,Shane Vereen,NWE,RB,22,5,0,0,0,0,0,0,15,57,3.80,1,0,0,0,N/A,0,0,N/A,1,N/A,N/A,12,11.7,11.7,11.7,N/A,110,N/A,2011
362,Donnie Avery,TEN,WR,27,8,0,0,0,0,0,0,0,0,N/A,0,11,3,45,15.00,1,0,N/A,1,N/A,N/A,11,13.5,13.5,12.0,N/A,139,N/A,2011
363,Lorenzo Booker,MIN,RB,27,15,0,0,0,0,0,0,13,52,4.00,0,14,8,82,10.25,0,3,1,0,N/A,N/A,11,19.4,20.4,15.4,N/A,112,N/A,2011
364,John Conner,NYJ,RB,24,16,8,0,0,0,0,0,13,44,3.38,1,5,2,9,4.50,0,0,N/A,1,N/A,N/A,11,13.3,13.3,12.3,N/A,113,N/A,2011
365,Terrance Copper,KAN,WR,29,16,2,0,0,0,0,0,0,0,N/A,0,12,8,114,14.25,0,0,N/A,0,N/A,N/A,11,19.4,22.4,15.4,N/A,136,N/A,2011
366,Domenik Hixon,NYG,WR,27,2,0,0,0,0,0,0,0,0,N/A,0,6,4,50,12.50,1,0,N/A,1,N/A,N/A,11,15.0,15.0,13.0,N/A,137,N/A,2011
367,Rob Housler,ARI,TE,23,12,2,0,0,0,0,0,0,0,N/A,0,26,12,133,11.08,0,1,1,0,N/A,N/A,11,23.3,27.3,17.3,N/A,61,N/A,2011
368,Sam Hurd,CHI,WR,26,12,0,0,0,0,0,0,0,0,N/A,0,15,8,109,13.63,0,1,N/A,0,N/A,N/A,11,18.9,21.9,14.9,N/A,138,N/A,2011
369,Sammy Morris,DAL,RB,34,3,0,0,0,0,0,0,28,98,3.50,0,7,5,13,2.60,0,0,N/A,0,N/A,N/A,11,16.1,16.1,13.6,N/A,114,N/A,2011
370,John Clay,PIT,RB,23,2,0,0,0,0,0,0,10,41,4.10,1,0,0,0,N/A,0,0,N/A,1,N/A,N/A,10,10.1,10.1,10.1,N/A,116,N/A,2011
371,Colin Cochart,CIN,TE,24,10,3,0,0,0,0,0,0,0,N/A,0,9,5,44,8.80,1,0,N/A,1,N/A,N/A,10,15.4,15.4,12.9,N/A,62,N/A,2011
372,Tom Crabtree,GNB,TE,26,16,9,0,0,0,0,0,0,0,N/A,0,8,6,38,6.33,1,0,N/A,1,N/A,N/A,10,15.8,15.8,12.8,N/A,64,N/A,2011
373,Jake Delhomme,HOU,QB,36,1,0,18,28,211,1,0,0,0,N/A,0,0,0,0,N/A,0,1,1,0,N/A,N/A,10,10.4,11.4,10.4,N/A,55,N/A,2011
374,Julian Edelman,NWE,WR,25,13,0,0,0,0,0,0,4,8,2.00,0,9,4,34,8.50,0,3,N/A,1,N/A,N/A,10,14.2,14.2,12.2,N/A,140,N/A,2011
375,Taiwan Jones,OAK,RB,23,10,0,0,0,0,0,0,16,73,4.56,0,3,2,25,12.50,0,0,N/A,0,N/A,N/A,10,11.8,11.8,10.8,N/A,117,N/A,2011
376,Vonta Leach*+,BAL,RB,30,16,16,0,0,0,0,0,12,35,2.92,0,27,15,69,4.60,0,0,N/A,0,N/A,N/A,10,25.4,25.4,17.9,N/A,115,N/A,2011
377,Zach Miller,JAX,TE,27,4,0,0,0,0,0,0,0,0,N/A,0,7,4,42,10.50,1,0,N/A,1,N/A,N/A,10,14.2,14.2,12.2,N/A,63,N/A,2011
378,Jerheme Urban,KAN,WR,31,6,1,0,0,0,0,0,1,7,7.00,0,13,4,35,8.75,1,0,N/A,1,N/A,N/A,10,14.2,14.2,12.2,N/A,141,N/A,2011
379,Ramses Barden,NYG,WR,25,8,0,0,0,0,0,0,0,0,N/A,0,19,9,94,10.44,0,0,N/A,0,N/A,N/A,9,18.4,18.4,13.9,N/A,142,N/A,2011
380,Bernard Berrian,MIN,WR,31,5,1,0,0,0,0,0,0,0,N/A,0,23,7,91,13.00,0,0,N/A,0,N/A,N/A,9,16.1,16.1,12.6,N/A,144,N/A,2011
381,Richie Brockel,CAR,TE,25,11,2,0,0,0,0,0,3,12,4.00,1,3,3,13,4.33,0,0,N/A,1,N/A,N/A,9,11.5,11.5,10.0,N/A,66,N/A,2011
382,Keary Colbert,KAN,WR,29,7,0,0,0,0,0,0,0,0,N/A,0,12,9,89,9.89,0,1,N/A,0,N/A,N/A,9,17.9,17.9,13.4,N/A,147,N/A,2011
383,Kevin Faulk,NWE,RB,35,7,3,0,0,0,0,0,17,57,3.35,0,9,7,34,4.86,0,0,N/A,0,N/A,N/A,9,16.1,16.1,12.6,N/A,118,N/A,2011
384,Daniel Graham,TEN,TE,33,16,7,0,0,0,0,0,0,0,N/A,0,5,2,25,12.50,1,0,N/A,1,N/A,N/A,9,10.5,10.5,9.5,N/A,67,N/A,2011
385,Chad Hall,PHI,WR,25,7,0,0,0,0,0,0,3,13,4.33,0,9,3,20,6.67,1,0,N/A,1,N/A,N/A,9,12.3,12.3,10.8,N/A,143,N/A,2011
386,Greg Jones,JAX,RB,30,16,9,0,0,0,0,0,2,7,3.50,1,9,4,19,4.75,0,0,N/A,1,N/A,N/A,9,12.6,12.6,10.6,N/A,119,N/A,2011
387,Marc Mariani,TEN,WR,24,16,0,0,0,0,0,0,1,4,4.00,0,12,5,24,4.80,0,1,N/A,1,N/A,N/A,9,13.8,13.8,11.3,N/A,149,N/A,2011
388,Weslye Saunders,PIT,WR,22,16,6,0,0,0,0,0,0,0,N/A,0,8,4,29,7.25,1,0,N/A,1,N/A,N/A,9,12.9,12.9,10.9,N/A,148,N/A,2011
389,Cecil Shorts,JAX,WR,24,10,0,0,0,0,0,0,0,0,N/A,0,12,2,30,15.00,1,0,N/A,1,N/A,N/A,9,11.0,11.0,10.0,N/A,145,N/A,2011
390,Luke Stocker,TAM,TE,23,14,9,0,0,0,0,0,0,0,N/A,0,17,12,92,7.67,0,0,N/A,0,N/A,N/A,9,21.2,21.2,15.2,N/A,65,N/A,2011
391,Eric Weems,ATL,WR,26,16,2,0,0,0,0,0,0,0,N/A,0,14,11,90,8.18,0,0,N/A,0,N/A,N/A,9,20.0,20.0,14.5,N/A,146,N/A,2011
392,John Gilmore,NOR,TE,32,14,4,0,0,0,0,0,0,0,N/A,0,6,3,20,6.67,1,0,N/A,1,N/A,N/A,8,11.0,11.0,9.5,N/A,68,N/A,2011
393,Michael Hoomanawanui,STL,WR,23,8,8,0,0,0,0,0,0,0,N/A,0,13,7,83,11.86,0,0,N/A,0,N/A,N/A,8,15.3,15.3,11.8,N/A,150,N/A,2011
394,Henry Hynoski,NYG,RB,23,11,4,0,0,0,0,0,0,0,N/A,0,16,12,83,6.92,0,0,N/A,0,N/A,N/A,8,20.3,20.3,14.3,N/A,120,N/A,2011
395,Ruvell Martin,BUF,WR,29,14,0,0,0,0,0,0,0,0,N/A,0,16,7,82,11.71,0,0,N/A,0,N/A,N/A,8,15.2,15.2,11.7,N/A,151,N/A,2011
396,Cameron Morrah,SEA,TE,24,9,4,0,0,0,0,0,1,1,1.00,0,13,6,74,12.33,0,0,N/A,0,N/A,N/A,8,13.5,13.5,10.5,N/A,69,N/A,2011
397,Anthony Sherman,ARI,RB,23,15,7,0,0,0,0,0,1,3,3.00,0,9,8,72,9.00,0,0,N/A,0,N/A,N/A,8,15.5,15.5,11.5,N/A,121,N/A,2011
398,Billy Bajema,STL,TE,29,16,12,0,0,0,0,0,0,0,N/A,0,14,9,71,7.89,0,0,N/A,0,N/A,N/A,7,16.1,16.1,11.6,N/A,70,N/A,2011
399,Brandon Banks,WAS,WR,24,16,0,1,1,49,1,0,1,1,1.00,0,1,1,10,10.00,0,7,N/A,0,N/A,N/A,7,8.1,8.1,7.6,N/A,153,N/A,2011
400,Rock Cartwright,OAK,RB,32,15,0,0,0,0,0,0,4,45,11.25,0,6,4,24,6.00,0,0,N/A,0,N/A,N/A,7,10.9,10.9,8.9,N/A,122,N/A,2011
401,Chris Cooley,WAS,TE,29,5,5,0,0,0,0,0,2,3,1.50,0,13,8,65,8.13,0,0,N/A,0,N/A,N/A,7,14.8,14.8,10.8,N/A,71,N/A,2011
402,Lee Evans,BAL,WR,30,9,2,0,0,0,0,0,0,0,N/A,0,26,4,74,18.50,0,0,N/A,0,N/A,N/A,7,11.4,11.4,9.4,N/A,152,N/A,2011
403,Nick Miller,2TM,WR,24,8,0,0,0,0,0,0,0,0,N/A,0,1,1,8,8.00,0,0,N/A,1,N/A,N/A,7,7.8,7.8,7.3,N/A,154,N/A,2011
404,Richard Bartel,ARI,QB,28,2,0,10,22,86,1,1,1,9,9.00,0,0,0,0,N/A,0,0,N/A,0,N/A,N/A,6,6.3,7.3,7.3,N/A,57,N/A,2011
405,Charlie Batch,PIT,QB,37,4,1,15,24,208,0,1,3,-2,-0.67,0,0,0,0,N/A,0,0,N/A,0,N/A,N/A,6,6.1,7.1,7.1,N/A,59,N/A,2011
406,Rashied Davis,DET,WR,32,11,0,0,0,0,0,0,0,0,N/A,0,5,4,63,15.75,0,0,N/A,0,N/A,N/A,6,10.3,10.3,8.3,N/A,155,N/A,2011
407,Richard Goodman,SDG,N/A,24,16,0,0,0,0,0,0,0,0,N/A,0,2,0,0,N/A,0,0,N/A,1,N/A,N/A,6,6.0,6.0,6.0,N/A,156,N/A,2011
408,Bruce Gradkowski,CIN,QB,28,2,0,8,18,109,1,1,3,1,0.33,0,0,0,0,N/A,0,0,N/A,0,N/A,N/A,6,6.5,7.5,7.5,N/A,56,N/A,2011
409,Matt Leinart,HOU,QB,28,2,1,10,13,57,1,0,1,-1,-1.00,0,0,0,0,N/A,0,0,N/A,0,N/A,N/A,6,6.2,6.2,6.2,N/A,58,N/A,2011
410,Brit Miller,STL,RB,25,12,1,0,0,0,0,0,5,14,2.80,0,3,3,41,13.67,0,0,N/A,0,N/A,N/A,6,8.5,8.5,7.0,N/A,123,N/A,2011
411,Matthew Mulligan,NYJ,TE,26,16,9,0,0,0,0,0,0,0,N/A,0,9,5,58,11.60,0,0,N/A,0,N/A,N/A,6,10.8,10.8,8.3,N/A,73,N/A,2011
412,Kealoha Pilares,CAR,N/A,23,12,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,1,N/A,1,N/A,N/A,6,6.0,6.0,6.0,N/A,157,N/A,2011
413,Ryan Taylor,GNB,TE,24,15,0,0,0,0,0,0,0,0,N/A,0,1,1,4,4.00,1,0,N/A,1,N/A,N/A,6,7.4,7.4,6.9,N/A,72,N/A,2011
414,Armando Allen,CHI,RB,22,2,0,0,0,0,0,0,15,48,3.20,0,1,0,0,N/A,0,0,N/A,0,N/A,N/A,5,4.8,4.8,4.8,N/A,127,N/A,2011
415,Danny Amendola,STL,WR,26,1,1,0,0,0,0,0,0,0,N/A,0,6,5,45,9.00,0,1,N/A,0,N/A,N/A,5,9.5,9.5,7.0,N/A,160,N/A,2011
416,Deon Butler,SEA,WR,25,5,0,0,0,0,0,0,0,0,N/A,0,7,6,51,8.50,0,0,N/A,0,N/A,N/A,5,11.1,11.1,8.1,N/A,158,N/A,2011
417,Tyler Clutts,CHI,RB,27,16,8,0,0,0,0,0,0,0,N/A,0,10,8,48,6.00,0,1,N/A,0,N/A,N/A,5,12.8,12.8,8.8,N/A,128,N/A,2011
418,Jerome Felton,2TM,RB,25,14,3,0,0,0,0,0,3,10,3.33,0,7,4,40,10.00,0,0,N/A,0,N/A,N/A,5,9.0,9.0,7.0,N/A,125,N/A,2011
419,Ahmard Hall,TEN,RB,32,12,7,0,0,0,0,0,6,24,4.00,0,14,9,46,5.11,0,1,1,0,N/A,N/A,5,14.0,15.0,9.5,N/A,126,N/A,2011
420,DuJuan Harris,JAX,RB,23,5,0,0,0,0,0,0,9,42,4.67,0,2,1,4,4.00,0,0,N/A,0,N/A,N/A,5,5.6,5.6,5.1,N/A,129,N/A,2011
421,Erik Lorig,TAM,RB,25,16,7,0,0,0,0,0,0,0,N/A,0,9,6,53,8.83,0,0,N/A,0,N/A,N/A,5,11.3,11.3,8.3,N/A,124,N/A,2011
422,Jake O'Connell,KAN,TE,26,8,4,0,0,0,0,0,0,0,N/A,0,12,7,52,7.43,0,0,N/A,0,N/A,N/A,5,12.2,12.2,8.7,N/A,74,N/A,2011
423,Zach Potter,JAX,TE,25,15,7,0,0,0,0,0,0,0,N/A,0,7,5,50,10.00,0,0,N/A,0,N/A,N/A,5,10.0,10.0,7.5,N/A,75,N/A,2011
424,Chris Redman,ATL,QB,34,5,0,18,28,188,0,1,5,-6,-1.20,0,0,0,0,N/A,0,0,N/A,0,N/A,N/A,5,4.9,5.9,5.9,N/A,60,N/A,2011
425,LaQuan Williams,BAL,WR,23,12,0,0,0,0,0,0,0,0,N/A,0,12,4,46,11.50,0,2,N/A,0,N/A,N/A,5,8.6,8.6,6.6,N/A,159,N/A,2011
426,Kyle Boller,OAK,QB,30,2,1,15,28,161,0,3,9,38,4.22,0,0,0,0,N/A,0,3,N/A,0,N/A,N/A,4,4.2,7.2,7.2,N/A,61,N/A,2011
427,Stephen Burton,MIN,WR,22,3,0,0,0,0,0,0,0,0,N/A,0,3,2,38,19.00,0,0,N/A,0,N/A,N/A,4,5.8,5.8,4.8,N/A,163,N/A,2011
428,Mike Caussin,BUF,TE,24,6,2,0,0,0,0,0,0,0,N/A,0,6,5,41,8.20,0,0,N/A,0,N/A,N/A,4,9.1,9.1,6.6,N/A,77,N/A,2011
429,Jeff Cumberland,NYJ,TE,24,3,0,0,0,0,0,0,0,0,N/A,0,5,2,35,17.50,0,0,N/A,0,N/A,N/A,4,5.5,5.5,4.5,N/A,80,N/A,2011
430,Tony Fiammetta,DAL,RB,25,10,6,0,0,0,0,0,4,4,1.00,0,5,3,39,13.00,0,0,N/A,0,N/A,N/A,4,7.3,7.3,5.8,N/A,131,N/A,2011
431,Jerome Harrison,DET,RB,28,4,0,0,0,0,0,0,14,41,2.93,0,2,1,3,3.00,0,0,N/A,0,N/A,N/A,4,5.4,5.4,4.9,N/A,130,N/A,2011
432,Will Heller,DET,TE,30,16,7,0,0,0,0,0,0,0,N/A,0,12,6,42,7.00,0,0,N/A,0,N/A,N/A,4,10.2,10.2,7.2,N/A,76,N/A,2011
433,Owen Marecic,CLE,RB,23,14,4,0,0,0,0,0,4,8,2.00,0,7,5,31,6.20,0,1,N/A,0,N/A,N/A,4,8.9,8.9,6.4,N/A,134,N/A,2011
434,Luke McCown,JAX,QB,30,4,2,30,56,296,0,4,7,23,3.29,0,0,0,0,N/A,0,2,1,0,N/A,N/A,4,4.1,9.1,8.1,N/A,62,N/A,2011
435,Jerious Norwood,STL,RB,28,9,0,0,1,0,0,1,24,61,2.54,0,1,0,0,N/A,0,0,N/A,0,N/A,N/A,4,4.1,5.1,5.1,N/A,132,N/A,2011
436,Kassim Osgood,JAX,WR,31,12,2,0,0,0,0,0,0,0,N/A,0,11,5,42,8.40,0,0,N/A,0,N/A,N/A,4,9.2,9.2,6.7,N/A,161,N/A,2011
437,Montell Owens*,JAX,RB,27,13,0,0,0,0,0,0,10,39,3.90,0,3,2,2,1.00,0,0,N/A,0,N/A,N/A,4,6.1,6.1,5.1,N/A,133,N/A,2011
438,Zack Pianalto,TAM,TE,22,13,0,0,0,0,0,0,0,0,N/A,0,5,4,40,10.00,0,0,N/A,0,N/A,N/A,4,8.0,8.0,6.0,N/A,78,N/A,2011
439,Taylor Price,2TM,WR,24,5,0,0,0,0,0,0,0,0,N/A,0,4,2,39,19.50,0,0,N/A,0,N/A,N/A,4,5.9,5.9,4.9,N/A,162,N/A,2011
440,Andrew Quarless,GNB,TE,23,10,2,0,0,0,0,0,0,0,N/A,0,4,3,36,12.00,0,0,N/A,0,N/A,N/A,4,6.6,6.6,5.1,N/A,79,N/A,2011
441,DeMarco Sampson,ARI,WR,26,12,0,0,0,0,0,0,0,0,N/A,0,8,3,36,12.00,0,0,N/A,0,N/A,N/A,4,6.6,6.6,5.1,N/A,165,N/A,2011
442,Owen Schmitt,PHI,RB,26,16,5,0,0,0,0,0,4,6,1.50,0,7,3,32,10.67,0,0,N/A,0,N/A,N/A,4,6.8,6.8,5.3,N/A,135,N/A,2011
443,Devin Thomas,NYG,WR,25,16,0,0,0,0,0,0,0,0,N/A,0,3,3,37,12.33,0,0,N/A,0,N/A,N/A,4,6.7,6.7,5.2,N/A,164,N/A,2011
444,Johnny White,BUF,RB,23,12,0,0,0,0,0,0,12,38,3.17,0,4,1,-3,-3.00,0,0,N/A,0,N/A,N/A,4,4.5,4.5,4.0,N/A,136,N/A,2011
445,Adrian Arrington,NOR,WR,26,4,0,0,0,0,0,0,0,0,N/A,0,3,2,31,15.50,0,0,N/A,0,N/A,N/A,3,5.1,5.1,4.1,N/A,168,N/A,2011
446,Anthony Becht,KAN,TE,34,9,5,0,0,0,0,0,0,0,N/A,0,4,3,26,8.67,0,0,N/A,0,N/A,N/A,3,5.6,5.6,4.1,N/A,84,N/A,2011
447,Kevin Brock,BUF,TE,25,2,0,0,0,0,0,0,0,0,N/A,0,2,2,27,13.50,0,0,N/A,0,N/A,N/A,3,4.7,4.7,3.7,N/A,83,N/A,2011
448,Jordan Cameron,CLE,TE,23,8,2,0,0,0,0,0,0,0,N/A,0,13,6,33,5.50,0,0,N/A,0,N/A,N/A,3,9.3,9.3,6.3,N/A,81,N/A,2011
449,Mark Clayton,STL,WR,29,2,1,0,0,0,0,0,0,0,N/A,0,4,3,26,8.67,0,0,N/A,0,N/A,N/A,3,5.6,5.6,4.1,N/A,174,N/A,2011
450,Jim Dray,ARI,TE,25,10,0,0,0,0,0,0,0,0,N/A,0,5,2,25,12.50,0,0,N/A,0,N/A,N/A,3,4.5,4.5,3.5,N/A,85,N/A,2011
451,Kris Durham,SEA,WR,23,3,0,0,0,0,0,0,0,0,N/A,0,4,3,30,10.00,0,0,N/A,0,N/A,N/A,3,6.0,6.0,4.5,N/A,170,N/A,2011
452,Brody Eldridge,IND,TE,24,13,8,0,0,0,0,0,0,0,N/A,0,10,9,45,5.00,0,0,1,0,N/A,N/A,3,11.5,12.5,7.0,N/A,86,N/A,2011
453,Quinn Johnson,TEN,RB,25,4,1,0,0,0,0,0,0,0,N/A,0,3,3,30,10.00,0,0,N/A,0,N/A,N/A,3,6.0,6.0,4.5,N/A,137,N/A,2011
454,Jon Kitna,DAL,QB,39,3,0,6,10,87,1,2,3,-2,-0.67,0,0,0,0,N/A,0,0,N/A,0,N/A,N/A,3,3.3,5.3,5.3,N/A,63,N/A,2011
455,J.P. Losman,MIA,QB,30,2,0,6,10,60,0,0,2,1,0.50,0,0,0,0,N/A,0,1,N/A,0,N/A,N/A,3,2.5,2.5,2.5,N/A,64,N/A,2011
456,Carlton Mitchell,CLE,WR,23,11,0,0,0,0,0,0,0,0,N/A,0,4,3,31,10.33,0,0,N/A,0,N/A,N/A,3,6.1,6.1,4.6,N/A,169,N/A,2011
457,Niles Paul,WAS,WR,22,13,2,0,0,0,0,0,1,7,7.00,0,5,2,25,12.50,0,0,N/A,0,N/A,N/A,3,5.2,5.2,4.2,N/A,166,N/A,2011
458,Bilal Powell,NYJ,RB,23,2,0,0,0,0,0,0,13,21,1.62,0,1,1,7,7.00,0,1,N/A,0,N/A,N/A,3,3.8,3.8,3.3,N/A,140,N/A,2011
459,Brian Robiskie,CLE,WR,24,6,2,0,0,0,0,0,0,0,N/A,0,9,3,25,8.33,0,0,N/A,0,N/A,N/A,3,5.5,5.5,4.0,N/A,176,N/A,2011
460,Matthew Slater*,NWE,WR,26,16,3,0,0,0,0,0,0,0,N/A,0,3,1,46,46.00,0,1,1,0,N/A,N/A,3,3.6,4.6,3.1,N/A,175,N/A,2011
461,Kory Sperry,SDG,TE,26,16,4,0,0,0,0,0,0,0,N/A,0,5,1,32,32.00,0,0,N/A,0,N/A,N/A,3,4.2,4.2,3.7,N/A,82,N/A,2011
462,Sammie Stroughter,TAM,WR,25,6,0,0,0,0,0,0,0,0,N/A,0,7,4,52,13.00,0,1,1,0,N/A,N/A,3,7.2,8.2,5.2,N/A,167,N/A,2011
463,Manase Tonga,OAK,RB,27,11,3,0,0,0,0,0,1,12,12.00,0,4,3,18,6.00,0,0,N/A,0,N/A,N/A,3,6.0,6.0,4.5,N/A,138,N/A,2011
464,Tiquan Underwood,NWE,WR,24,6,0,0,0,0,0,0,0,0,N/A,0,6,3,30,10.00,0,0,N/A,0,N/A,N/A,3,6.0,6.0,4.5,N/A,171,N/A,2011
465,Lawrence Vickers,HOU,RB,28,14,1,0,0,0,0,0,1,0,0.00,0,8,4,29,7.25,0,0,N/A,0,N/A,N/A,3,6.9,6.9,4.9,N/A,139,N/A,2011
466,Bryan Walters,SDG,WR,24,4,0,0,0,0,0,0,0,0,N/A,0,4,3,27,9.00,0,0,N/A,0,N/A,N/A,3,5.7,5.7,4.2,N/A,172,N/A,2011
467,Ryan Whalen,CIN,WR,22,4,0,0,0,0,0,0,0,0,N/A,0,5,4,27,6.75,0,0,N/A,0,N/A,N/A,3,6.7,6.7,4.7,N/A,173,N/A,2011
468,Brock Bolen,JAX,RB,26,13,0,0,0,0,0,0,2,14,7.00,0,5,2,6,3.00,0,0,N/A,0,N/A,N/A,2,4.0,4.0,3.0,N/A,143,N/A,2011
469,Thomas Clayton,CLE,RB,27,3,0,0,0,0,0,0,8,12,1.50,0,1,1,3,3.00,0,0,N/A,0,N/A,N/A,2,2.5,2.5,2.0,N/A,147,N/A,2011
470,Clyde Gates,MIA,WR,25,15,0,0,0,0,0,0,1,4,4.00,0,N/A,2,19,9.50,0,0,N/A,0,N/A,N/A,2,4.3,4.3,3.3,N/A,177,N/A,2011
471,Garrett Graham,HOU,RB,25,7,0,0,0,0,0,0,0,0,N/A,0,2,1,24,24.00,0,0,N/A,0,N/A,N/A,2,3.4,3.4,2.9,N/A,141,N/A,2011
472,Alex Green,GNB,RB,23,4,0,0,0,0,0,0,3,11,3.67,0,1,1,6,6.00,0,0,N/A,0,N/A,N/A,2,2.7,2.7,2.2,N/A,146,N/A,2011
473,Virgil Green,DEN,TE,23,15,3,0,0,0,0,0,0,0,N/A,0,5,3,24,8.00,0,0,N/A,0,N/A,N/A,2,5.4,5.4,3.9,N/A,87,N/A,2011
474,Roscoe Parrish,BUF,WR,29,2,2,0,0,0,0,0,0,0,N/A,0,4,1,16,16.00,0,0,N/A,0,N/A,N/A,2,2.6,2.6,2.1,N/A,180,N/A,2011
475,Justin Peelle,SFO,TE,32,14,2,0,0,0,0,0,0,0,N/A,0,4,1,19,19.00,0,0,N/A,0,N/A,N/A,2,2.9,2.9,2.4,N/A,88,N/A,2011
476,Cedric Peerman,CIN,RB,25,15,0,0,0,0,0,0,3,15,5.00,0,1,0,0,N/A,0,0,N/A,0,N/A,N/A,2,1.5,1.5,1.5,N/A,148,N/A,2011
477,Chris Pressley,CIN,RB,25,15,10,0,0,0,0,0,0,0,N/A,0,5,3,19,6.33,0,0,N/A,0,N/A,N/A,2,4.9,4.9,3.4,N/A,144,N/A,2011
478,Mike Sellers,WAS,TE,36,12,0,0,0,0,0,0,0,0,N/A,0,2,1,15,15.00,0,0,N/A,0,N/A,N/A,2,2.5,2.5,2.0,N/A,90,N/A,2011
479,Chansi Stuckey,ARI,WR,28,9,0,0,0,0,0,0,0,0,N/A,0,8,4,39,9.75,0,1,1,0,N/A,N/A,2,5.9,6.9,3.9,N/A,179,N/A,2011
480,Brett Swain,SFO,WR,26,5,1,0,0,0,0,0,0,0,N/A,0,7,2,15,7.50,0,0,N/A,0,N/A,N/A,2,3.5,3.5,2.5,N/A,181,N/A,2011
481,Brandon Tate,CIN,N/A,24,16,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,3,2,1,N/A,N/A,2,2.0,4.0,2.0,N/A,178,N/A,2011
482,David Thomas,NOR,TE,28,5,2,0,0,0,0,0,0,0,N/A,0,9,5,16,3.20,0,0,N/A,0,N/A,N/A,2,6.6,6.6,4.1,N/A,89,N/A,2011
483,Josh Vaughan,CAR,RB,25,7,0,0,0,0,0,0,7,24,3.43,0,0,0,0,N/A,0,0,N/A,0,N/A,N/A,2,2.4,2.4,2.4,N/A,142,N/A,2011
484,Eddie Williams,2TM,RB,24,6,0,0,0,0,0,0,2,2,1.00,0,1,1,17,17.00,0,0,N/A,0,N/A,N/A,2,2.9,2.9,2.4,N/A,145,N/A,2011
485,Anthony Allen,BAL,RB,23,5,0,0,0,0,0,0,3,8,2.67,0,0,0,0,N/A,0,0,N/A,0,N/A,N/A,1,0.8,0.8,0.8,N/A,155,N/A,2011
486,Emmanuel Arceneaux,MIN,WR,24,3,0,0,0,0,0,0,0,0,N/A,0,2,1,10,10.00,0,0,N/A,0,N/A,N/A,1,2.0,2.0,1.5,N/A,186,N/A,2011
487,David Ausberry,OAK,TE,24,12,0,0,0,0,0,0,1,-2,-2.00,0,2,2,14,7.00,0,0,N/A,0,N/A,N/A,1,3.2,3.2,2.2,N/A,92,N/A,2011
488,Allen Bradford,TAM,RB,23,1,0,0,0,0,0,0,5,13,2.60,0,0,0,0,N/A,0,0,N/A,0,N/A,N/A,1,1.3,1.3,1.3,N/A,149,N/A,2011
489,Aaron Brown,DET,RB,26,1,0,0,0,0,0,0,1,0,0.00,0,1,1,9,9.00,0,0,N/A,0,N/A,N/A,1,1.9,1.9,1.4,N/A,152,N/A,2011
490,Mark Brunell,NYJ,QB,41,16,0,1,3,27,0,0,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,N/A,N/A,1,1.1,1.1,1.1,N/A,67,N/A,2011
491,Shaun Chapas,DAL,RB,23,3,0,0,0,0,0,0,0,0,N/A,0,1,1,9,9.00,0,0,N/A,0,N/A,N/A,1,1.9,1.9,1.4,N/A,153,N/A,2011
492,Mike Cox,ATL,RB,26,9,5,0,0,0,0,0,0,0,N/A,0,3,2,8,4.00,0,1,N/A,0,N/A,N/A,1,2.8,2.8,1.8,N/A,156,N/A,2011
493,Chase Daniel,NOR,QB,25,16,0,4,5,29,0,0,3,-3,-1.00,0,0,0,0,N/A,0,0,N/A,0,N/A,N/A,1,0.9,0.9,0.9,N/A,69,N/A,2011
494,Ryan D'Imperio,MIN,RB,24,12,1,0,0,0,0,0,0,0,N/A,0,6,2,7,3.50,0,0,N/A,0,N/A,N/A,1,2.7,2.7,1.7,N/A,157,N/A,2011
495,Armanti Edwards,CAR,WR,23,16,0,1,1,11,0,0,1,5,5.00,0,0,0,0,N/A,0,0,N/A,0,N/A,N/A,1,0.9,0.9,0.9,N/A,187,N/A,2011
496,Anthony Hill,IND,TE,26,7,2,0,0,0,0,0,0,0,N/A,0,3,2,10,5.00,0,0,N/A,0,N/A,N/A,1,3.0,3.0,2.0,N/A,93,N/A,2011
497,Shaun Hill,DET,QB,31,2,0,2,3,33,0,0,1,-1,-1.00,0,0,0,0,N/A,0,0,N/A,0,N/A,N/A,1,1.2,1.2,1.2,N/A,65,N/A,2011
