,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season
275,Knowshon Moreno,DEN,RB,24,7,2,0,0,0,0,0,37,179,4.84,0,15,11,101,9.18,1,1,1,1,N/A,N/A,32,43.0,50.0,37.5,N/A,80,N/A,2011
276,Naaman Roosevelt,BUF,WR,24,10,0,0,0,0,0,0,0,0,N/A,0,26,16,257,16.06,1,0,N/A,1,N/A,N/A,32,47.7,50.7,39.7,N/A,110,N/A,2011
277,Eddie Royal,DEN,WR,25,12,8,0,0,0,0,0,7,48,6.86,0,50,19,155,8.16,1,0,N/A,2,N/A,N/A,32,51.3,54.3,41.8,N/A,109,N/A,2011
278,Jonathan Baldwin,KAN,WR,22,11,3,0,0,0,0,0,0,0,N/A,0,52,21,254,12.10,1,0,N/A,1,N/A,N/A,31,52.4,55.4,41.9,N/A,111,N/A,2011
279,Derek Hagan,2TM,WR,27,10,3,0,0,0,0,0,0,0,N/A,0,42,24,252,10.50,1,0,N/A,1,N/A,N/A,31,55.2,58.2,43.2,N/A,112,N/A,2011
280,Leonard Pope,KAN,TE,28,16,10,0,0,0,0,0,0,0,N/A,0,34,24,247,10.29,1,0,N/A,1,N/A,N/A,31,54.7,57.7,42.7,N/A,41,N/A,2011
281,Tashard Choice,3TM,RB,27,13,1,0,0,0,0,0,57,152,2.67,1,30,19,124,6.53,0,3,2,1,N/A,N/A,30,48.6,56.6,39.1,N/A,82,N/A,2011
282,Brian Leonard,CIN,RB,27,13,0,0,0,0,0,0,17,85,5.00,0,31,22,210,9.55,0,0,N/A,0,N/A,N/A,30,51.5,54.5,40.5,N/A,83,N/A,2011
283,Mewelde Moore,PIT,RB,29,12,0,0,0,0,0,0,22,157,7.14,0,14,11,104,9.45,1,2,1,1,N/A,N/A,30,41.1,48.1,35.6,N/A,81,N/A,2011
284,Mike Williams,SEA,WR,27,12,10,0,0,0,0,0,0,0,N/A,0,38,18,236,13.11,1,0,N/A,1,N/A,N/A,30,47.6,50.6,38.6,N/A,113,N/A,2011
285,Jed Collins,NOR,RB,25,16,11,0,0,0,0,0,4,4,1.00,2,14,11,50,4.55,2,0,N/A,4,N/A,N/A,29,40.4,40.4,34.9,N/A,84,N/A,2011
286,Patrick Crayton,SDG,WR,32,14,1,0,0,0,0,0,0,0,N/A,0,34,23,248,10.78,1,2,1,1,N/A,N/A,29,51.8,55.8,40.3,N/A,115,N/A,2011
287,Andrew Hawkins,CIN,WR,25,13,0,0,0,0,0,0,5,25,5.00,0,34,23,263,11.43,0,0,N/A,0,N/A,N/A,29,51.8,54.8,40.3,N/A,116,N/A,2011
288,Donald Jones,BUF,WR,24,8,7,0,0,0,0,0,1,2,2.00,0,46,23,231,10.04,1,0,N/A,1,N/A,N/A,29,52.3,55.3,40.8,N/A,114,N/A,2011
289,Joe McKnight,NYJ,RB,23,15,0,0,0,0,0,0,43,134,3.12,0,18,13,139,10.69,0,3,2,1,N/A,N/A,29,42.3,50.3,35.8,N/A,85,N/A,2011
290,Caleb Hanie,CHI,QB,26,6,4,51,102,613,3,9,13,98,7.54,0,0,0,0,N/A,0,1,N/A,0,N/A,N/A,28,28.3,40.3,37.3,N/A,47,N/A,2011
291,Josh Morgan,SFO,WR,26,5,5,0,0,0,0,0,0,0,N/A,0,20,15,220,14.67,1,0,N/A,1,N/A,N/A,28,43.0,46.0,35.5,N/A,118,N/A,2011
292,Ryan Torain,WAS,RB,25,8,4,0,0,0,0,0,59,200,3.39,1,9,6,23,3.83,0,1,N/A,1,N/A,N/A,28,34.3,37.3,31.3,N/A,86,N/A,2011
293,Chastin West,JAX,WR,24,12,1,0,0,0,0,0,0,0,N/A,0,27,13,163,12.54,2,0,N/A,2,N/A,N/A,28,41.3,44.3,34.8,N/A,117,N/A,2011
294,Randy McMichael,SDG,TE,32,16,14,0,0,0,0,0,0,0,N/A,0,44,30,271,9.03,0,0,N/A,0,N/A,N/A,27,57.1,60.1,42.1,N/A,42,N/A,2011
295,Derrick Ward,HOU,RB,31,12,1,0,0,0,0,0,45,154,3.42,2,1,0,0,N/A,0,0,N/A,2,N/A,N/A,27,27.4,30.4,27.4,N/A,87,N/A,2011
296,Deji Karim,JAX,RB,25,12,0,0,0,0,0,0,63,130,2.06,0,19,14,120,8.57,0,1,N/A,0,N/A,N/A,25,39.0,45.0,32.0,N/A,89,N/A,2011
297,Le'Ron McClain,KAN,RB,27,16,10,0,0,0,0,0,15,51,3.40,1,22,14,82,5.86,1,0,N/A,2,N/A,N/A,25,39.3,39.3,32.3,N/A,88,N/A,2011
298,Josh McCown,CHI,QB,32,3,2,35,55,414,2,4,12,68,5.67,0,0,0,0,N/A,0,2,N/A,0,1,N/A,25,25.4,32.4,29.4,N/A,48,N/A,2011
299,Tyler Palko,KAN,QB,28,6,4,80,134,796,2,7,5,15,3.00,0,0,0,0,N/A,0,1,1,0,N/A,N/A,25,25.3,36.3,32.3,N/A,49,N/A,2011
300,Austin Pettis,STL,WR,23,12,3,0,0,0,0,0,1,-6,-6.00,0,48,27,256,9.48,0,2,N/A,0,N/A,N/A,25,52.0,55.0,38.5,N/A,120,N/A,2011
301,Greg Salas,STL,WR,23,6,0,0,0,0,0,0,1,8,8.00,0,38,27,264,9.78,0,3,1,0,N/A,N/A,25,52.2,56.2,38.7,N/A,119,N/A,2011
302,Anthony Armstrong,WAS,WR,28,14,2,0,0,0,0,0,2,19,9.50,0,27,7,103,14.71,2,0,N/A,2,N/A,N/A,24,31.2,34.2,27.7,N/A,121,N/A,2011
303,Jacob Tamme,IND,TE,26,16,5,0,0,0,0,0,0,0,N/A,0,31,19,177,9.32,1,0,N/A,1,N/A,N/A,24,42.7,45.7,33.2,N/A,43,N/A,2011
304,Darrel Young,WAS,RB,24,13,8,0,0,0,0,0,6,33,5.50,1,19,15,146,9.73,0,0,N/A,1,N/A,N/A,24,38.9,41.9,31.4,N/A,90,N/A,2011
305,Zach Miller,SEA,TE,26,15,15,0,0,0,0,0,0,0,N/A,0,44,25,233,9.32,0,0,N/A,0,N/A,N/A,23,48.3,51.3,35.8,N/A,44,N/A,2011
306,Craig Stevens,TEN,TE,27,15,11,0,0,0,0,0,0,0,N/A,0,14,9,166,18.44,1,0,N/A,1,N/A,N/A,23,31.6,34.6,27.1,N/A,45,N/A,2011
307,Chester Taylor,ARI,RB,32,12,1,0,0,0,0,0,20,77,3.85,1,24,14,91,6.50,0,0,N/A,1,N/A,N/A,23,36.8,36.8,29.8,N/A,91,N/A,2011
308,Curtis Brinkley,SDG,RB,26,10,1,0,0,0,0,0,30,101,3.37,1,9,7,41,5.86,0,0,N/A,1,1,N/A,22,29.2,32.2,25.7,N/A,92,N/A,2011
309,Clay Harbor,PHI,TE,24,16,3,0,0,0,0,0,0,0,N/A,0,19,13,163,12.54,1,0,N/A,1,N/A,N/A,22,35.3,38.3,28.8,N/A,46,N/A,2011
310,Anthony Dixon,SFO,RB,24,16,0,0,0,0,0,0,29,87,3.00,2,1,1,6,6.00,0,0,N/A,2,N/A,N/A,21,22.3,22.3,21.8,N/A,93,N/A,2011
311,T.J. Houshmandzadeh,OAK,WR,34,9,0,0,0,0,0,0,0,0,N/A,0,19,11,146,13.27,1,0,N/A,1,N/A,N/A,21,31.6,34.6,26.1,N/A,122,N/A,2011
312,A.J. Feeley,STL,QB,34,5,3,53,97,548,1,2,3,4,1.33,0,0,0,0,N/A,0,3,1,0,N/A,N/A,20,20.3,26.3,22.3,N/A,50,N/A,2011
313,Jacob Hester,SDG,RB,26,16,3,0,0,0,0,0,28,90,3.21,0,18,12,48,4.00,1,2,N/A,1,N/A,N/A,20,31.8,31.8,25.8,N/A,94,N/A,2011
314,Kerry Collins,IND,QB,39,3,3,48,98,481,2,1,2,-1,-0.50,0,0,0,0,N/A,0,4,3,0,N/A,N/A,19,19.1,26.1,20.1,N/A,51,N/A,2011
